
2024/09/23 (07:28:51) | ===> btop++ v.1.4.0
2024/09/23 (07:28:51) | WARNING: Intel GPU: Failed to initialize PMU

2024/09/23 (07:33:22) | ===> btop++ v.1.4.0
2024/09/23 (07:33:22) | WARNING: Intel GPU: Failed to initialize PMU

2024/09/23 (07:35:35) | ===> btop++ v.1.4.0
2024/09/23 (07:35:35) | WARNING: Intel GPU: Failed to initialize PMU

2024/09/23 (07:35:54) | ===> btop++ v.1.4.0
2024/09/23 (07:35:54) | WARNING: Intel GPU: Failed to initialize PMU

2024/09/23 (07:36:39) | ===> btop++ v.1.4.0
2024/09/23 (07:36:39) | WARNING: Intel GPU: Failed to initialize PMU

2024/09/23 (10:35:45) | ===> btop++ v.1.4.0
2024/09/23 (10:35:45) | WARNING: Intel GPU: Failed to initialize PMU
