
2024/09/23 (07:28:51) | ===> btop++ v.1.4.0
2024/09/23 (07:28:51) | WARNING: Intel GPU: Failed to initialize PMU

2024/09/23 (07:33:22) | ===> btop++ v.1.4.0
2024/09/23 (07:33:22) | WARNING: Intel GPU: Failed to initialize PMU

2024/09/23 (07:35:35) | ===> btop++ v.1.4.0
2024/09/23 (07:35:35) | WARNING: Intel GPU: Failed to initialize PMU

2024/09/23 (07:35:54) | ===> btop++ v.1.4.0
2024/09/23 (07:35:54) | WARNING: Intel GPU: Failed to initialize PMU

2024/09/23 (07:36:39) | ===> btop++ v.1.4.0
2024/09/23 (07:36:39) | WARNING: Intel GPU: Failed to initialize PMU

2024/09/23 (10:35:45) | ===> btop++ v.1.4.0
2024/09/23 (10:35:45) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/26 (08:26:02) | ===> btop++ v.1.4.0
2024/10/26 (08:26:02) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/27 (07:58:15) | ===> btop++ v.1.4.0
2024/10/27 (07:58:15) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/31 (17:23:26) | ===> btop++ v.1.4.0
2024/10/31 (17:23:26) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/02 (12:42:06) | ===> btop++ v.1.4.0
2024/11/02 (12:42:06) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/02 (12:45:39) | ===> btop++ v.1.4.0
2024/11/02 (12:45:39) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/02 (12:48:34) | ===> btop++ v.1.4.0
2024/11/02 (12:48:34) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/02 (13:05:01) | ===> btop++ v.1.4.0
2024/11/02 (13:05:01) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/09 (17:19:27) | ===> btop++ v.1.4.0
2024/11/09 (17:19:27) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/10 (11:22:12) | ===> btop++ v.1.4.0
2024/11/10 (11:22:12) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/10 (11:24:16) | ===> btop++ v.1.4.0
2024/11/10 (11:24:16) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/14 (16:31:57) | ===> btop++ v.1.4.0
